From	Entry	Protein names	Gene Names	Function [CC]	Gene Ontology (cellular component)	Interacts with
HMGA1	Q6IPL9	High mobility group protein HMG-I/HMG-Y (High mobility group AT-hook protein 1)	HMGA1	FUNCTION: HMG-I/Y bind preferentially to the minor groove of A+T rich regions in double-stranded DNA. It is suggested that these proteins could function in nucleosome phasing and in the 3'-end processing of mRNA transcripts. They are also involved in the transcription regulation of genes containing, or in close proximity to A+T-rich regions. {ECO:0000256|ARBA:ARBA00025155}.	chromatin [GO:0000785]; nucleus [GO:0005634]	
HMGB2	P26583	High mobility group protein B2 (High mobility group protein 2) (HMG-2)	HMGB2 HMG2	FUNCTION: Multifunctional protein with various roles in different cellular compartments. May act in a redox sensitive manner. In the nucleus is an abundant chromatin-associated non-histone protein involved in transcription, chromatin remodeling and V(D)J recombination and probably other processes. Binds DNA with a preference to non-canonical DNA structures such as single-stranded DNA. Can bent DNA and enhance DNA flexibility by looping thus providing a mechanism to promote activities on various gene promoters by enhancing transcription factor binding and/or bringing distant regulatory sequences into close proximity (PubMed:11909973, PubMed:18413230, PubMed:19522541, PubMed:19965638, PubMed:20123072, PubMed:7797075). Involved in V(D)J recombination by acting as a cofactor of the RAG complex: acts by stimulating cleavage and RAG protein binding at the 23 bp spacer of conserved recombination signal sequences (RSS) (By similarity). Proposed to be involved in the innate immune response to nucleic acids by acting as a promiscuous immunogenic DNA/RNA sensor which cooperates with subsequent discriminative sensing by specific pattern recognition receptors (By similarity). In the extracellular compartment acts as a chemokine. Promotes proliferation and migration of endothelial cells implicating AGER/RAGE (PubMed:19811285). Has antimicrobial activity in gastrointestinal epithelial tissues (PubMed:23877675). Involved in inflammatory response to antigenic stimulus coupled with pro-inflammatory activity (By similarity). Involved in modulation of neurogenesis probably by regulation of neural stem proliferation (By similarity). Involved in articular cartilage surface maintenance implicating LEF1 and the Wnt/beta-catenin pathway (By similarity). {ECO:0000250|UniProtKB:P09429, ECO:0000250|UniProtKB:P30681, ECO:0000269|PubMed:11909973, ECO:0000269|PubMed:18413230, ECO:0000269|PubMed:19522541, ECO:0000269|PubMed:19811285, ECO:0000269|PubMed:19965638, ECO:0000269|PubMed:23877675, ECO:0000269|PubMed:7797075, ECO:0000305|PubMed:20123072}.	chromatin [GO:0000785]; condensed chromosome [GO:0000793]; cytoplasm [GO:0005737]; extracellular space [GO:0005615]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; protein-containing complex [GO:0032991]	Q8N668; Q9BRT3; Q9NZM5; P55347; Q96I87; Q99598; Q96B54
HMGB2	D6R9A6	High mobility group protein B2 (High mobility group protein 2)	HMGB2		chromosome [GO:0005694]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; nucleus [GO:0005634]	
HNRNPDL	O14979	Heterogeneous nuclear ribonucleoprotein D-like (hnRNP D-like) (hnRNP DL) (AU-rich element RNA-binding factor) (JKT41-binding protein) (Protein laAUF1)	HNRNPDL HNRPDL JKTBP	FUNCTION: Acts as a transcriptional regulator. Promotes transcription repression. Promotes transcription activation in differentiated myotubes (By similarity). Binds to double- and single-stranded DNA sequences. Binds to the transcription suppressor CATR sequence of the COX5B promoter (By similarity). Binds with high affinity to RNA molecules that contain AU-rich elements (AREs) found within the 3'-UTR of many proto-oncogenes and cytokine mRNAs. Binds both to nuclear and cytoplasmic poly(A) mRNAs. Binds to poly(G) and poly(A), but not to poly(U) or poly(C) RNA homopolymers. Binds to the 5'-ACUAGC-3' RNA consensus sequence. {ECO:0000250, ECO:0000269|PubMed:9538234}.	chromatin [GO:0000785]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]	P22626; Q14103; Q15637; P09234; Q13148; O76024
HNRNPDL	A0A087WU03	Heterogeneous nuclear ribonucleoprotein D like	HNRNPDL			
HNRNPDL	A0A087WUK2	Heterogeneous nuclear ribonucleoprotein D like (Heterogeneous nuclear ribonucleoprotein D-like, isoform CRA_b)	HNRNPDL HNRPDL hCG_22986		cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; ribonucleoprotein complex [GO:1990904]	
HSD17B12	Q53GQ0	Very-long-chain 3-oxoacyl-CoA reductase (EC 1.1.1.330) (17-beta-hydroxysteroid dehydrogenase 12) (17-beta-HSD 12) (3-ketoacyl-CoA reductase) (KAR) (Estradiol 17-beta-dehydrogenase 12) (EC 1.1.1.62) (Short chain dehydrogenase/reductase family 12C member 1)	HSD17B12 SDR12C1	FUNCTION: Catalyzes the second of the four reactions of the long-chain fatty acids elongation cycle. This endoplasmic reticulum-bound enzymatic process, allows the addition of two carbons to the chain of long- and very long-chain fatty acids/VLCFAs per cycle. This enzyme has a 3-ketoacyl-CoA reductase activity, reducing 3-ketoacyl-CoA to 3-hydroxyacyl-CoA, within each cycle of fatty acid elongation. Thereby, it may participate in the production of VLCFAs of different chain lengths that are involved in multiple biological processes as precursors of membrane lipids and lipid mediators. May also catalyze the transformation of estrone (E1) into estradiol (E2) and play a role in estrogen formation. {ECO:0000269|PubMed:12482854, ECO:0000269|PubMed:16166196}.	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; extracellular matrix [GO:0031012]; fatty acid elongase complex [GO:0009923]	P28329-3; P22607; P06396; P01112; Q9UMX0; Q9UMX0-2; Q9UHD9; PRO_0000037541 [Q9WMX2]
HSD17B12	A0A1B0GU83	Hydroxysteroid 17-beta dehydrogenase 12	HSD17B12		membrane [GO:0016020]	
HSD17B12	A0A1B0GV93	Very-long-chain 3-oxoacyl-CoA reductase (EC 1.1.1.330) (EC 1.1.1.62) (17-beta-hydroxysteroid dehydrogenase 12) (3-ketoacyl-CoA reductase) (Estradiol 17-beta-dehydrogenase 12)	HSD17B12	FUNCTION: Catalyzes the second of the four reactions of the long-chain fatty acids elongation cycle. This endoplasmic reticulum-bound enzymatic process, allows the addition of two carbons to the chain of long- and very long-chain fatty acids/VLCFAs per cycle. This enzyme has a 3-ketoacyl-CoA reductase activity, reducing 3-ketoacyl-CoA to 3-hydroxyacyl-CoA, within each cycle of fatty acid elongation. Thereby, it may participate in the production of VLCFAs of different chain lengths that are involved in multiple biological processes as precursors of membrane lipids and lipid mediators. May also catalyze the transformation of estrone (E1) into estradiol (E2) and play a role in estrogen formation. {ECO:0000256|ARBA:ARBA00037337}.	endoplasmic reticulum membrane [GO:0005789]	
HSD17B12	A0A1B0GVY6	Very-long-chain 3-oxoacyl-CoA reductase (EC 1.1.1.62) (17-beta-hydroxysteroid dehydrogenase 12) (Estradiol 17-beta-dehydrogenase 12)	HSD17B12		endoplasmic reticulum [GO:0005783]	
HSD17B12	A0A1B0GW27	Hydroxysteroid 17-beta dehydrogenase 12	HSD17B12			
HSD17B12	A0A1B0GW85	Hydroxysteroid 17-beta dehydrogenase 12	HSD17B12		membrane [GO:0016020]	
HSD17B12	E9PI21	Very-long-chain 3-oxoacyl-CoA reductase (EC 1.1.1.62) (17-beta-hydroxysteroid dehydrogenase 12) (Estradiol 17-beta-dehydrogenase 12)	HSD17B12		endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]	
HSPA9	P38646	Stress-70 protein, mitochondrial (EC 3.6.4.10) (75 kDa glucose-regulated protein) (GRP-75) (Heat shock 70 kDa protein 9) (Heat shock protein family A member 9) (Mortalin) (MOT) (Peptide-binding protein 74) (PBP74)	HSPA9 GRP75 HSPA9B mt-HSP70	FUNCTION: Mitochondrial chaperone that plays a key role in mitochondrial protein import, folding, and assembly. Plays an essential role in the protein quality control system, the correct folding of proteins, the re-folding of misfolded proteins, and the targeting of proteins for subsequent degradation. These processes are achieved through cycles of ATP binding, ATP hydrolysis, and ADP release, mediated by co-chaperones (PubMed:18632665, PubMed:25615450, PubMed:28848044, PubMed:30933555, PubMed:31177526). In mitochondria, it associates with the TIM (translocase of the inner membrane) protein complex to assist in the import and folding of mitochondrial proteins (By similarity). Plays an important role in mitochondrial iron-sulfur cluster (ISC) biogenesis, interacts with and stabilizes ISC cluster assembly proteins FXN, NFU1, NFS1 and ISCU (PubMed:26702583). Regulates erythropoiesis via stabilization of ISC assembly (PubMed:21123823, PubMed:26702583). Regulates mitochondrial calcium-dependent apoptosis by coupling two calcium channels, ITPR1 and VDAC1, at the mitochondria-associated endoplasmic reticulum (ER) membrane to facilitate calcium transport from the ER lumen to the mitochondria intermembrane space, providing calcium for the downstream calcium channel MCU, which releases it into the mitochondrial matrix (By similarity). Although primarily located in the mitochondria, it is also found in other cellular compartments. In the cytosol, it associates with proteins involved in signaling, apoptosis, or senescence. It may play a role in cell cycle regulation via its interaction with and promotion of degradation of TP53 (PubMed:24625977, PubMed:26634371). May play a role in the control of cell proliferation and cellular aging (By similarity). Protects against reactive oxygen species (ROS) (By similarity). Extracellular HSPA9 plays a cytoprotective role by preventing cell lysis following immune attack by the membrane attack complex by disrupting formation of the complex (PubMed:16091382). {ECO:0000250|UniProtKB:P0CS90, ECO:0000250|UniProtKB:P38647, ECO:0000269|PubMed:16091382, ECO:0000269|PubMed:18632665, ECO:0000269|PubMed:21123823, ECO:0000269|PubMed:24625977, ECO:0000269|PubMed:25615450, ECO:0000269|PubMed:26634371, ECO:0000269|PubMed:26702583, ECO:0000269|PubMed:28848044, ECO:0000269|PubMed:30933555, ECO:0000269|PubMed:31177526}.	cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; MIB complex [GO:0140275]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; SAM complex [GO:0001401]; TIM23 mitochondrial import inner membrane translocase complex [GO:0005744]	Q9H6A0; P00533; Q8TDU6; Q9HAV7; Q8IWL3; Q8WX92; Q99650; P04637; O15350; P13693; A4D2J0
HSPA9	A0A3B3ITI4	Heat shock protein family A (Hsp70) member 9	HSPA9			
HSPA9	A0A7I2V2G2	Stress-70 protein, mitochondrial (75 kDa glucose-regulated protein) (Heat shock 70 kDa protein 9)	HSPA9		mitochondrion [GO:0005739]	
HSPA9	A0A7I2V2K6	Heat shock protein family A (Hsp70) member 9	HSPA9			
HSPA9	A0A7I2V2S7	Stress-70 protein, mitochondrial (75 kDa glucose-regulated protein) (Heat shock 70 kDa protein 9)	HSPA9		mitochondrion [GO:0005739]	
HSPA9	A0A7I2V3D9	Heat shock protein family A (Hsp70) member 9	HSPA9			
HSPA9	A0A7I2V3F7	Heat shock protein family A (Hsp70) member 9	HSPA9		mitochondrion [GO:0005739]	
HSPA9	A0A7I2V4A9	Heat shock protein family A (Hsp70) member 9	HSPA9			
HSPA9	A0A7I2YQB2	Stress-70 protein, mitochondrial (75 kDa glucose-regulated protein) (Heat shock 70 kDa protein 9)	HSPA9		mitochondrion [GO:0005739]	
HSPA9	A0A7I2YQQ5	Heat shock protein family A (Hsp70) member 9	HSPA9			
HSPA9	D6RCD7	Stress-70 protein, mitochondrial (75 kDa glucose-regulated protein) (Heat shock 70 kDa protein 9)	HSPA9		mitochondrion [GO:0005739]	
HSPA9	H0Y8K0	Heat shock 70kDa protein 9B (Mortalin-2), isoform CRA_a (Heat shock protein family A (Hsp70) member 9)	HSPA9 HSPA9B hCG_18779			
HSPA9	H0Y8S0	Heat shock protein family A (Hsp70) member 9	HSPA9			
HSPA9	Q8N1C8	Stress-70 protein, mitochondrial (75 kDa glucose-regulated protein) (Heat shock 70 kDa protein 9)	HSPA9			
IDH2	P48735	Isocitrate dehydrogenase [NADP], mitochondrial (IDH) (EC 1.1.1.42) (ICD-M) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	IDH2	FUNCTION: Plays a role in intermediary metabolism and energy production (PubMed:19228619, PubMed:22416140). It may tightly associate or interact with the pyruvate dehydrogenase complex (PubMed:19228619, PubMed:22416140). {ECO:0000269|PubMed:19228619, ECO:0000269|PubMed:22416140}.	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; peroxisome [GO:0005777]	
IDH2	A0A1P8A7C0	Isocitrate dehydrogenase	IDH2			
IDH2	H0YL11	isocitrate dehydrogenase (NADP(+)) (EC 1.1.1.42) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	IDH2			
IDH2	H0YLL5	Isocitrate dehydrogenase (NADP(+)) 2	IDH2			
IFRD1	O00458	Interferon-related developmental regulator 1 (Nerve growth factor-inducible protein PC4)	IFRD1	FUNCTION: Could play a role in regulating gene activity in the proliferative and/or differentiative pathways induced by NGF. May be an autocrine factor that attenuates or amplifies the initial ligand-induced signal (By similarity). {ECO:0000250}.	nucleus [GO:0005634]; sarcoplasm [GO:0016528]	
IFRD1	A0A6Q8PF03	Interferon related developmental regulator 1	IFRD1			
IFRD1	A0A6Q8PFA5	Interferon related developmental regulator 1	IFRD1			
IFRD1	A0A6Q8PH75	Interferon related developmental regulator 1	IFRD1			
IFRD1	A0A6Q8PHN0	Interferon related developmental regulator 1	IFRD1			
IFRD1	A4D0U1	Interferon-related developmental regulator 1	IFRD1 hCG_15767 tcag7.54		nucleus [GO:0005634]; sarcoplasm [GO:0016528]	
IFRD1	C9J311	Interferon related developmental regulator 1	IFRD1			
IFRD1	C9J7U6	Interferon related developmental regulator 1	IFRD1			
IFRD1	C9JA65	Interferon related developmental regulator 1	IFRD1			
IFRD1	C9JK78	Interferon related developmental regulator 1	IFRD1			
IFRD1	C9JLG5	Interferon related developmental regulator 1	IFRD1			
IFRD1	C9JNM6	Interferon related developmental regulator 1	IFRD1			
IFRD1	E9PMY4	Interferon related developmental regulator 1	IFRD1			
IFRD1	H0YEE3	Interferon related developmental regulator 1	IFRD1			
IFRD1	Q75M98	Uncharacterized protein IFRD1	IFRD1			
IFRD1	Q75M99	Uncharacterized protein IFRD1	IFRD1			
IFRD1	Q75MS4	Uncharacterized protein IFRD1	IFRD1			
ILF3	Q12906	Interleukin enhancer-binding factor 3 (Double-stranded RNA-binding protein 76) (DRBP76) (M-phase phosphoprotein 4) (MPP4) (Nuclear factor associated with dsRNA) (NFAR) (Nuclear factor of activated T-cells 90 kDa) (NF-AT-90) (Translational control protein 80) (TCP80)	ILF3 DRBF MPHOSPH4 NF90	FUNCTION: RNA-binding protein that plays an essential role in the biogenesis of circular RNAs (circRNAs) which are produced by back-splicing circularization of pre-mRNAs. Within the nucleus, promotes circRNAs processing by stabilizing the regulatory elements residing in the flanking introns of the circularized exons. Plays thereby a role in the back-splicing of a subset of circRNAs (PubMed:28625552). As a consequence, participates in a wide range of transcriptional and post-transcriptional processes. Binds to poly-U elements and AU-rich elements (AREs) in the 3'-UTR of target mRNAs (PubMed:14731398). Upon viral infection, ILF3 accumulates in the cytoplasm and participates in the innate antiviral response (PubMed:21123651, PubMed:34110282). Mechanistically, ILF3 becomes phosphorylated and activated by the double-stranded RNA-activated protein kinase/PKR which releases ILF3 from cellular mature circRNAs. In turn, unbound ILF3 molecules are able to interact with and thus inhibit viral mRNAs (PubMed:21123651, PubMed:28625552). {ECO:0000269|PubMed:14731398, ECO:0000269|PubMed:21123651, ECO:0000269|PubMed:28625552, ECO:0000269|PubMed:9442054}.; FUNCTION: (Microbial infection) Plays a positive role in HIV-1 virus production by binding to and thereby stabilizing HIV-1 RNA, together with ILF3. {ECO:0000269|PubMed:26891316}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular region [GO:0005576]; membrane [GO:0016020]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]	P22626; P14866-1; Q99873; P08325; P03496; Q05127; Q13148; A5D8V6
ILF3	K7EJ09	Interleukin enhancer binding factor 3	ILF3			
ILF3	K7EKJ9	Interleukin enhancer binding factor 3	ILF3		mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]	
ILF3	K7EKY0	Interleukin enhancer binding factor 3	ILF3			
ILF3	K7ELV3	Interleukin enhancer binding factor 3	ILF3			
ILF3	K7EM82	Interleukin enhancer binding factor 3	ILF3			
ILF3	K7EMZ8	Interleukin enhancer binding factor 3	ILF3			
ILF3	K7ENK6	Interleukin enhancer binding factor 3	ILF3			
ILF3	K7EPG3	Interleukin enhancer binding factor 3	ILF3			
ILF3	K7EQ75	Interleukin enhancer binding factor 3	ILF3			
ILF3	K7EQR9	Interleukin enhancer binding factor 3	ILF3		nucleus [GO:0005634]	
