"Gene","Gene_single","mean log2(fold)","mean -log10  p value","significant in n/4 datasets","rank","bins","Function [CC]","Protein names"
"ILF3","ILF3",-0.3228819668,2.889599462,3,83,"(-0.4,-0.3]","FUNCTION: RNA-binding protein that plays an essential role in the biogenesis of circular RNAs (circRNAs) which are produced by back-splicing circularization of pre-mRNAs. Within the nucleus, promotes circRNAs processing by stabilizing the regulatory elements residing in the flanking introns of the circularized exons. Plays thereby a role in the back-splicing of a subset of circRNAs (PubMed:28625552). As a consequence, participates in a wide range of transcriptional and post-transcriptional processes. Binds to poly-U elements and AU-rich elements (AREs) in the 3'-UTR of target mRNAs (PubMed:14731398). Upon viral infection, ILF3 accumulates in the cytoplasm and participates in the innate antiviral response (PubMed:21123651, PubMed:34110282). Mechanistically, ILF3 becomes phosphorylated and activated by the double-stranded RNA-activated protein kinase/PKR which releases ILF3 from cellular mature circRNAs. In turn, unbound ILF3 molecules are able to interact with and thus inhibit viral mRNAs (PubMed:21123651, PubMed:28625552). {ECO:0000269|PubMed:14731398, ECO:0000269|PubMed:21123651, ECO:0000269|PubMed:28625552, ECO:0000269|PubMed:9442054}.; FUNCTION: (Microbial infection) Plays a positive role in HIV-1 virus production by binding to and thereby stabilizing HIV-1 RNA, together with ILF3. {ECO:0000269|PubMed:26891316}.","Interleukin enhancer-binding factor 3 (Double-stranded RNA-binding protein 76) (DRBP76) (M-phase phosphoprotein 4) (MPP4) (Nuclear factor associated with dsRNA) (NFAR) (Nuclear factor of activated T-cells 90 kDa) (NF-AT-90) (Translational control protein 80) (TCP80)"
"IMMT","IMMT",-0.5050157035,2.581279923,4,166,"(-0.6,-0.5]","FUNCTION: Component of the MICOS complex, a large protein complex of the mitochondrial inner membrane that plays crucial roles in the maintenance of crista junctions, inner membrane architecture, and formation of contact sites to the outer membrane (PubMed:22114354, PubMed:25781180, PubMed:32567732, PubMed:33130824). Plays an important role in the maintenance of the MICOS complex stability and the mitochondrial cristae morphology (PubMed:22114354, PubMed:25781180, PubMed:32567732, PubMed:33130824). {ECO:0000269|PubMed:22114354, ECO:0000269|PubMed:25781180, ECO:0000269|PubMed:32567732, ECO:0000269|PubMed:33130824}.","MICOS complex subunit MIC60 (Cell proliferation-inducing gene 4/52 protein) (Mitochondrial inner membrane protein) (Mitofilin) (p87/89)"
"IRF2BP1","IRF2BP1",0.5435609433,2.411067572,3,14,"(0.5,0.6]","FUNCTION: Acts as a transcriptional corepressor in a IRF2-dependent manner; this repression is not mediated by histone deacetylase activities. May act as an E3 ligase towards JDP2, enhancing its polyubiquitination. Represses ATF2-dependent transcriptional activation. {ECO:0000269|PubMed:12799427, ECO:0000269|PubMed:18671972}.","Interferon regulatory factor 2-binding protein 1 (IRF-2-binding protein 1) (IRF-2BP1) (Probable E3 ubiquitin-protein ligase IRF2BP1) (EC 2.3.2.27) (Probable RING-type E3 ubiquitin transferase IRF2BP1)"
"KHSRP","KHSRP",-0.309867041,2.07288823,4,78,"(-0.4,-0.3]","FUNCTION: Binds to the dendritic targeting element and may play a role in mRNA trafficking (By similarity). Part of a ternary complex that binds to the downstream control sequence (DCS) of the pre-mRNA. Mediates exon inclusion in transcripts that are subject to tissue-specific alternative splicing. May interact with single-stranded DNA from the far-upstream element (FUSE). May activate gene expression. Also involved in degradation of inherently unstable mRNAs that contain AU-rich elements (AREs) in their 3'-UTR, possibly by recruiting degradation machinery to ARE-containing mRNAs. {ECO:0000250, ECO:0000269|PubMed:11003644, ECO:0000269|PubMed:8940189, ECO:0000269|PubMed:9136930}.","Far upstream element-binding protein 2 (FUSE-binding protein 2) (KH type-splicing regulatory protein) (KSRP) (p75)"
"KIAA0196","KIAA0196",0.2777184558,2.400614996,3,55,"(0.2,0.3]",NA,NA
"KIAA0391","KIAA0391",-0.5894168268,2.633535787,3,185,"(-0.6,-0.5]",NA,NA
"KPNA2","KPNA2",-0.3158252918,2.260439777,4,79,"(-0.4,-0.3]","FUNCTION: Functions in nuclear protein import as an adapter protein for nuclear receptor KPNB1 (PubMed:28991411, PubMed:32130408, PubMed:7604027, PubMed:7754385). Binds specifically and directly to substrates containing either a simple or bipartite NLS motif (PubMed:28991411, PubMed:32130408, PubMed:7604027, PubMed:7754385). Docking of the importin/substrate complex to the nuclear pore complex (NPC) is mediated by KPNB1 through binding to nucleoporin FxFG repeats and the complex is subsequently translocated through the pore by an energy requiring, Ran-dependent mechanism (PubMed:7604027, PubMed:7754385). At the nucleoplasmic side of the NPC, Ran binds to importin-beta and the three components separate and importin-alpha and -beta are re-exported from the nucleus to the cytoplasm where GTP hydrolysis releases Ran from importin. The directionality of nuclear import is thought to be conferred by an asymmetric distribution of the GTP- and GDP-bound forms of Ran between the cytoplasm and nucleus. Mediator of PR-DUB complex component BAP1 nuclear import; acts redundantly with KPNA1 and Transportin-1/TNPO1 (PubMed:35446349). {ECO:0000269|PubMed:28991411, ECO:0000269|PubMed:32130408, ECO:0000269|PubMed:35446349, ECO:0000269|PubMed:7604027, ECO:0000269|PubMed:7754385}.","Importin subunit alpha-1 (Karyopherin subunit alpha-2) (RAG cohort protein 1) (SRP1-alpha)"
"LAMTOR1","LAMTOR1",0.4304107626,1.423887949,3,26,"(0.4,0.5]","FUNCTION: Key component of the Ragulator complex, a multiprotein complex involved in amino acid sensing and activation of mTORC1, a signaling complex promoting cell growth in response to growth factors, energy levels, and amino acids (PubMed:20381137, PubMed:22980980, PubMed:29158492). Activated by amino acids through a mechanism involving the lysosomal V-ATPase, the Ragulator plays a dual role for the small GTPases Rag (RagA/RRAGA, RagB/RRAGB, RagC/RRAGC and/or RagD/RRAGD): it (1) acts as a guanine nucleotide exchange factor (GEF), activating the small GTPases Rag and (2) mediates recruitment of Rag GTPases to the lysosome membrane (PubMed:22980980, PubMed:28935770, PubMed:29158492, PubMed:30181260, PubMed:31001086, PubMed:32686708, PubMed:36476874). Activated Ragulator and Rag GTPases function as a scaffold recruiting mTORC1 to lysosomes where it is in turn activated (PubMed:20381137, PubMed:22980980, PubMed:29158492). LAMTOR1 is directly responsible for anchoring the Ragulator complex to the lysosomal membrane (PubMed:31001086, PubMed:32686708). LAMTOR1 wraps around the other subunits of the Ragulator complex to hold them in place and interacts with the Rag GTPases, thereby playing a key role in the recruitment of the mTORC1 complex to lysosomes (PubMed:28935770, PubMed:29107538, PubMed:29123114, PubMed:29285400). Also involved in the control of embryonic stem cells differentiation via non-canonical RagC/RRAGC and RagD/RRAGD activation: together with FLCN, it is necessary to recruit and activate RagC/RRAGC and RagD/RRAGD at the lysosomes, and to induce exit of embryonic stem cells from pluripotency via non-canonical, mTOR-independent TFE3 inactivation (By similarity). Also required for late endosomes/lysosomes biogenesis it may regulate both the recycling of receptors through endosomes and the MAPK signaling pathway through recruitment of some of its components to late endosomes (PubMed:20381137, PubMed:22980980). May be involved in cholesterol homeostasis regulating LDL uptake and cholesterol release from late endosomes/lysosomes (PubMed:20544018). May also play a role in RHOA activation (PubMed:19654316). {ECO:0000250|UniProtKB:Q9CQ22, ECO:0000269|PubMed:19654316, ECO:0000269|PubMed:20381137, ECO:0000269|PubMed:20544018, ECO:0000269|PubMed:22980980, ECO:0000269|PubMed:28935770, ECO:0000269|PubMed:29107538, ECO:0000269|PubMed:29123114, ECO:0000269|PubMed:29158492, ECO:0000269|PubMed:29285400, ECO:0000269|PubMed:30181260, ECO:0000269|PubMed:31001086, ECO:0000269|PubMed:32686708, ECO:0000269|PubMed:36476874}.","Ragulator complex protein LAMTOR1 (Late endosomal/lysosomal adaptor and MAPK and MTOR activator 1) (Lipid raft adaptor protein p18) (Protein associated with DRMs and endosomes) (p27Kip1-releasing factor from RhoA) (p27RF-Rho)"
"LMAN1","LMAN1",-0.3011905315,2.147868546,3,73,"(-0.4,-0.3]","FUNCTION: Mannose-specific lectin. May recognize sugar residues of glycoproteins, glycolipids, or glycosylphosphatidyl inositol anchors and may be involved in the sorting or recycling of proteins, lipids, or both. The LMAN1-MCFD2 complex forms a specific cargo receptor for the ER-to-Golgi transport of selected proteins. {ECO:0000269|PubMed:12717434, ECO:0000269|PubMed:13130098}.","Protein ERGIC-53 (ER-Golgi intermediate compartment 53 kDa protein) (Gp58) (Intracellular mannose-specific lectin MR60) (Lectin mannose-binding 1)"
"LSM7","LSM7",0.2798185125,1.449232028,3,53,"(0.2,0.3]","FUNCTION: Plays a role in pre-mRNA splicing as component of the U4/U6-U5 tri-snRNP complex that is involved in spliceosome assembly, and as component of the precatalytic spliceosome (spliceosome B complex) (PubMed:28781166). The heptameric LSM2-8 complex binds specifically to the 3'-terminal U-tract of U6 snRNA (PubMed:10523320). {ECO:0000269|PubMed:10523320, ECO:0000269|PubMed:28781166}.","U6 snRNA-associated Sm-like protein LSm7"
"MDH2","MDH2",-0.5022000406,2.274143716,3,164,"(-0.6,-0.5]",NA,NA
"MGME1","MGME1",-0.5201105289,2.724913321,3,170,"(-0.6,-0.5]","FUNCTION: Metal-dependent single-stranded DNA (ssDNA) exonuclease involved in mitochondrial genome maintenance. Has preference for 5'-3' exonuclease activity but is also capable of endoduclease activity on linear substrates. Necessary for maintenance of proper 7S DNA levels. Probably involved in mitochondrial DNA (mtDNA) repair, possibly via the processing of displaced DNA containing Okazaki fragments during RNA-primed DNA synthesis on the lagging strand or via processing of DNA flaps during long-patch base excision repair. Specifically binds 5-hydroxymethylcytosine (5hmC)-containing DNA in stem cells. {ECO:0000255|HAMAP-Rule:MF_03030, ECO:0000269|PubMed:23313956, ECO:0000269|PubMed:23358826}.","Mitochondrial genome maintenance exonuclease 1 (EC 3.1.-.-)"
"MNAT1","MNAT1",-0.309431533,2.563962024,3,77,"(-0.4,-0.3]","FUNCTION: Stabilizes the cyclin H-CDK7 complex to form a functional CDK-activating kinase (CAK) enzymatic complex. CAK activates the cyclin-associated kinases CDK1, CDK2, CDK4 and CDK6 by threonine phosphorylation. CAK complexed to the core-TFIIH basal transcription factor activates RNA polymerase II by serine phosphorylation of the repetitive C-terminal domain (CTD) of its large subunit (POLR2A), allowing its escape from the promoter and elongation of the transcripts. Involved in cell cycle control and in RNA transcription by RNA polymerase II. {ECO:0000269|PubMed:10024882}.","CDK-activating kinase assembly factor MAT1 (CDK7/cyclin-H assembly factor) (Cyclin-G1-interacting protein) (Menage a trois) (RING finger protein 66) (RING finger protein MAT1) (p35) (p36)"
"MPC2","MPC2",-0.5249131843,2.697849997,3,174,"(-0.6,-0.5]","FUNCTION: Mediates the uptake of pyruvate into mitochondria. {ECO:0000269|PubMed:22628558, ECO:0000269|PubMed:26253029, ECO:0000269|PubMed:27317664, ECO:0000269|PubMed:29472561}.","Mitochondrial pyruvate carrier 2 (Brain protein 44)"
"MRPL17","MRPL17",-0.5511571374,2.495808559,3,177,"(-0.6,-0.5]",NA,NA
"MRPL19","MRPL19",-0.341309807,1.478429683,3,90,"(-0.4,-0.3]",NA,NA
"MRPL28","MRPL28",-0.7595364973,1.544833387,3,213,"(-0.8,-0.7]",NA,NA
"MRPL3","MRPL3",-0.6572947092,2.411914238,3,198,"(-0.7,-0.6]",NA,NA
"MRPL39","MRPL39",-0.3814741572,2.125396194,3,114,"(-0.4,-0.3]",NA,NA
"MRPL40","MRPL40",-1.001983558,2.210444619,3,227,"(-1.1,-1]",NA,NA
"MRPL41","MRPL41",-0.6942204552,1.847443407,3,203,"(-0.7,-0.6]","FUNCTION: Component of the mitochondrial ribosome large subunit (PubMed:25278503, PubMed:25838379, PubMed:28892042, PubMed:35177605). Also involved in apoptosis and cell cycle (PubMed:16024796, PubMed:16256947). Enhances p53/TP53 stability, thereby contributing to p53/TP53-induced apoptosis in response to growth-inhibitory condition. Enhances p53/TP53 translocation to the mitochondria. Has the ability to arrest the cell cycle at the G1 phase, possibly by stabilizing the CDKN1A and CDKN1B (p27Kip1) proteins (PubMed:16024796). {ECO:0000269|PubMed:16024796, ECO:0000269|PubMed:16256947, ECO:0000269|PubMed:25278503, ECO:0000269|PubMed:25838379, ECO:0000269|PubMed:28892042, ECO:0000269|PubMed:35177605}.","Large ribosomal subunit protein mL41 (39S ribosomal protein L41, mitochondrial) (L41mt) (MRP-L41) (Bcl-2-interacting mitochondrial ribosomal protein L41) (Cell proliferation-inducing gene 3 protein) (MRP-L27 homolog)"
"MRPL42","MRPL42",-1.015618078,2.986968011,3,230,"(-1.1,-1]",NA,NA
"MRPL45","MRPL45",-0.4575345653,1.845898321,3,147,"(-0.5,-0.4]","FUNCTION: Component of the mitochondrial large ribosomal subunit (mt-LSU) (PubMed:25278503, PubMed:25838379, PubMed:28892042, PubMed:33602856, PubMed:35177605). Within the mitochondrial ribosomes, required to direct the nascent polypeptide toward the tunnel exit and position the exit at a distance from the membrane surface (PubMed:33602856). {ECO:0000269|PubMed:25278503, ECO:0000269|PubMed:25838379, ECO:0000269|PubMed:28892042, ECO:0000269|PubMed:33602856, ECO:0000269|PubMed:35177605}.","Large ribosomal subunit protein mL45 (39S ribosomal protein L45, mitochondrial) (L45mt) (MRP-L45)"
"MRPL47","MRPL47",-0.4362742566,1.985992674,3,136,"(-0.5,-0.4]",NA,NA
"MRPL49","MRPL49",-0.2637432702,1.96436911,4,60,"(-0.3,-0.2]",NA,NA
"MRPL51","MRPL51",-1.002685388,2.709738929,3,228,"(-1.1,-1]",NA,NA
"MRPL9","MRPL9",-0.8163158223,2.225878735,3,216,"(-0.9,-0.8]",NA,NA
"MRPS15","MRPS15",-0.6469058966,2.466748544,3,196,"(-0.7,-0.6]",NA,NA
"MRPS16","MRPS16",-0.5710253691,2.149885014,3,180,"(-0.6,-0.5]",NA,NA
"MRPS21","MRPS21",-1.244490342,3.036429534,3,235,"(-1.3,-1.2]",NA,NA
"MRPS22","MRPS22",-0.6656293869,2.927255069,3,199,"(-0.7,-0.6]",NA,NA
"MRPS24","MRPS24",0.5720489969,1.959625041,3,12,"(0.5,0.6]",NA,NA
"MRPS25","MRPS25",-0.4433279373,2.708519645,3,140,"(-0.5,-0.4]",NA,NA
"MRPS27","MRPS27",-0.3170576934,2.78972779,3,80,"(-0.4,-0.3]","FUNCTION: RNA-binding component of the mitochondrial small ribosomal subunit (mt-SSU) that plays a role in mitochondrial protein synthesis (PubMed:22841715). Stimulates mitochondrial mRNA translation of subunit components of the mitochondrial electron transport chain (PubMed:22841715). Binds to the mitochondrial 12S rRNA (12S mt-rRNA) and tRNA(Glu) (PubMed:22841715). Involved also in positive regulation of cell proliferation and tumor cell growth (PubMed:28714366). {ECO:0000269|PubMed:22841715, ECO:0000269|PubMed:28714366}.","Small ribosomal subunit protein mS27 (28S ribosomal protein S27, mitochondrial) (MRP-S27) (S27mt) (Mitochondrial ribosomal protein S27)"
"MRPS28","MRPS28",-0.3511322625,2.726748293,3,96,"(-0.4,-0.3]",NA,NA
"MRPS34","MRPS34",-0.5208976095,2.698089189,3,171,"(-0.6,-0.5]","FUNCTION: Required for mitochondrial translation, plays a role in maintaining the stability of the small ribosomal subunit and the 12S rRNA that are required for mitoribosome formation. {ECO:0000269|PubMed:28777931}.","Small ribosomal subunit protein mS34 (28S ribosomal protein S34, mitochondrial) (MRP-S34) (S34mt)"
